"company_id","health_score","churn_probability","risk_level","activities_last_30d","activities_last_7d","days_since_last_activity","days_to_contract_end","inactive_user","dormant_user","action_priority","primary_risk_factor","recommended_action"
123060,0.6,0.994,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
131119,0.8,0.992,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
122019,0.8,0.992,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
3093,1,0.99,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
129351,1,0.99,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
120994,1.2,0.988,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
9172,1.2,0.988,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
127147,1.4,0.986,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
125866,1.6,0.984,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
124924,1.6,0.984,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
136502,1.6,0.984,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
6540,1.8,0.982,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
120040,2,0.98,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
121340,2.2,0.978,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
133047,2.2,0.978,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
123973,2.2,0.978,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
126808,2.2,0.978,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
143940,2.2,0.978,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
4601,2.2,0.978,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
8397,2.4,0.976,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
132199,2.4,0.976,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
122632,2.6,0.974,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
126422,2.6,0.974,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
135315,2.6,0.974,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
5958,2.8,0.972,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
8582,2.8,0.972,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
7915,3,0.97,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
125397,3.2,0.968,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
1194,3.2,0.968,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
135753,3.2,0.968,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
128523,3.2,0.968,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
125412,3.2,0.968,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
123218,3.4,0.966,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
137125,3.4,0.966,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
6861,3.4,0.966,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
143678,3.6,0.964,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
129638,3.6,0.964,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
122317,3.8,0.962,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
5495,3.8,0.962,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
142575,4,0.96,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
136434,4,0.96,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
130057,4,0.96,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
141707,4,0.96,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
6200,4,0.96,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
142918,4.2,0.958,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
132583,4.2,0.958,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
2582,4.2,0.958,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
128175,4.2,0.958,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
5798,4.6,0.954,"Critical Risk",0,0,65,300,1,1,"Immediate Action Required","Inactive + Dormant user","Re-engagement campaign"
134280,4.6,0.954,"Critical Risk",158,0,25,10,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
137047,4.6,0.954,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
136251,4.6,0.954,"Critical Risk",4,0,25,20,1,0,"Immediate Action Required","Inactive user (>14 days)","Re-engagement campaign"
