id#company_id#timestamp#type#price_key#mode#period_starts_at#period_ends_at#billing_cycle_anchor#cancel_at#canceled_at#quantity#is_trial#is_migration#is_conversion#is_renewal#is_reactivation#is_cancellation#status#contract_duration_in_months#payment_interval_in_months#monthly_recurring_revenue#monthly_recurring_revenue_without_discounts#permanent_discount_percent#temporary_discount_percent#coupon#stripe_event_id#stripe_customer_id#stripe_subscription_id#action
200438#152324#2025-10-02 11:34:37#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 13:33:57#2025-11-02 12:33:57#2025-02-02 12:33:57###3#0#0#0#0#0#0#active#1#1#11.97#11.97#0.00#0.00##evt_1SDkmQF4eogfgR0SX1y0p03s#cus_RcGuIXssxHHlef#sub_1Qj2MuF4eogfgR0SJElat0Y1#subscription_updated
200427#121181#2025-10-02 11:14:32#customer.subscription.updated#documentation_monthly#documentation#2025-09-25 01:00:00#2025-10-25 01:00:00#2024-12-25 00:00:00###17#0#0#0#0#0#0#past_due#1#1#169.83#169.83#0.00#0.00##evt_1SDkSyF4eogfgR0SMAYNHFoG#cus_LxsFuhXhUwHoCD#sub_1QSPWsF4eogfgR0ShD4tlKQq#subscription_upgraded
200425#867#2025-10-02 11:12:18#customer.subscription.updated#project_monthly#project#2025-10-02 13:11:28#2025-11-02 12:11:28#2025-02-02 12:11:28###2#0#0#0#0#0#0#active#1#1#13.98#13.98#0.00#0.00##evt_1SDkQpF4eogfgR0SzNNJVJMo#cus_IBiRZBgKzVDCrO#sub_1Qo15IF4eogfgR0Srr6bEPGs#subscription_updated
200420#149931#2025-10-02 11:06:57#customer.subscription.updated#attendance_monthly#attendance#2025-10-01 19:02:21#2025-11-01 18:02:21#2025-01-01 18:02:21#2025-11-01 18:02:21#2025-10-02 13:06:57#21#0#0#0#0#0#1#active#1#1#83.79#83.79#0.00#0.00##evt_1SDkLdF4eogfgR0S9hnI4BLg#cus_ROHHzp7ytmrGh0#sub_1QcVJJF4eogfgR0S2EUwcHF1#subscription_updated
200419#142575#2025-10-02 11:04:34#customer.subscription.updated#migrated_documentation_yearly#documentation#2025-05-26 00:00:00#2026-05-26 00:00:00#2025-05-26 00:00:00#2026-05-26 00:00:00#2025-10-02 13:04:33#6#0#0#0#0#0#1#active#12#12#50.94#50.94#0.00#0.00##evt_1SDkJKF4eogfgR0SYAqDUiTG#cus_Q93UBAIP79o0vH#sub_1QmbP0F4eogfgR0SBQfCZYNO#subscription_updated
200418#156657#2025-10-02 10:54:58#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 12:54:26#2025-11-02 11:54:26#2025-04-02 12:54:26###4#0#0#0#0#0#0#active#1#1#15.96#15.96#0.00#0.00##evt_1SDkA3F4eogfgR0SxCi2SZnp#cus_S3UoNfsL72Bh0V#sub_1R9Np3F4eogfgR0SzxjbHutR#subscription_updated
200415#151007#2025-10-02 10:31:55#customer.subscription.updated#attendance_2_yearly#attendance#2025-01-09 14:15:37#2027-01-09 14:15:37#2025-01-09 14:15:37###4#0#0#0#0#0#0#past_due#24#24#12.76#12.76#0.00#0.00##evt_1SDjnjF4eogfgR0S2hNzjA09#cus_RXJ2x3wwnQUU3p#sub_1QeEQGF4eogfgR0SUu2NUH9t#subscription_upgraded
200411#152070#2025-10-02 10:21:51#customer.subscription.updated#attendance_monthly#attendance#2025-09-29 22:49:40#2025-10-29 21:49:40#2025-01-29 21:49:40###18#0#0#0#1#0#0#past_due#1#1#71.82#71.82#0.00#0.00##evt_1SDjdzF4eogfgR0SlM92mde4#cus_Rb1zG7pwhMsxHz#sub_1QhpvpF4eogfgR0SdQYuzDA7#subscription_upgraded
200409#151893#2025-10-02 10:06:48#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 12:05:46#2025-11-02 11:05:46#2025-02-02 11:05:46###3#0#0#0#0#0#0#active#1#1#11.97#11.97#0.00#0.00##evt_1SDjPRF4eogfgR0SwgjTHwWQ#cus_RaMPhq1pG5XOyZ#sub_1Qo03iF4eogfgR0S7qml3BUs#subscription_updated
200407#157009#2025-10-02 09:33:12#customer.subscription.updated#attendance_monthly#attendance#2025-09-28 09:23:44#2025-10-28 08:23:44#2025-04-28 09:23:44###4#0#0#0#0#0#0#past_due#1#1#15.96#15.96#0.00#0.00##evt_1SDisuF4eogfgR0SKRL5GdE7#cus_S5pK5K4TgJ0rTA#sub_1RIm2WF4eogfgR0S60hMjfK8#subscription_upgraded
200404#155126#2025-10-02 09:22:45#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 11:22:17#2025-11-02 10:22:17#2025-06-02 11:22:17###2#0#0#0#0#0#0#active#1#1#7.98#7.98#0.00#0.00##evt_1SDiioF4eogfgR0S6elIaFw9#cus_RrDshd1cpVEyob#sub_1RVUZRF4eogfgR0STKEFNC5b#subscription_updated
200403#147714#2025-10-02 09:20:18#customer.subscription.updated#attendance_2_yearly#attendance#2024-12-10 17:58:26#2026-10-28 00:00:00#2026-10-28 00:00:00###18#0#0#0#0#0#0#past_due#24#24#57.42#57.42#0.00#0.00##evt_1SDigRF4eogfgR0SW19HWz9g#cus_R73EIxpvwsGPN5#sub_1QUWlSF4eogfgR0SIVyRtkov#subscription_upgraded
200401#137609#2025-10-02 09:17:58#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 11:17:15#2025-11-02 10:17:15#2025-01-02 10:17:15###15#0#0#0#0#0#0#active#1#1#59.85#59.85#0.00#0.00##evt_1SDieBF4eogfgR0SJI4fAoXv#cus_PRiXLZIJeJn1QL#sub_1QckTyF4eogfgR0SZqoyCPIY#subscription_updated
200396#143274#2025-10-02 09:14:37#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 11:14:34#2025-11-02 10:14:34#2025-04-02 11:14:34###11#0#0#0#0#0#0#active#1#1#43.89#43.89#0.00#0.00##evt_1SDiawF4eogfgR0SXDn6zi6b#cus_Rm6SoJC2jIYbGB#sub_1R9NNWF4eogfgR0SGpnGhSKg#subscription_updated
200390#155724#2025-10-02 09:08:46#customer.subscription.updated#attendance_yearly#attendance#2025-03-25 10:31:56#2026-03-25 10:31:56#2025-03-25 10:31:56###11#0#0#0#0#0#0#active#12#12#41.69#41.69#0.00#0.00##evt_1SDiVGF4eogfgR0SO4OwRyCL#cus_Rw7dL9gpNSpEGV#sub_1R2FODF4eogfgR0SoEsSfb0e#subscription_updated
200386#150072#2025-10-02 08:58:44#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 10:57:44#2025-11-02 09:57:44#2025-01-02 09:57:44###9#0#0#0#0#0#0#active#1#1#35.91#35.91#0.00#0.00##evt_1SDiLZF4eogfgR0S6vyrCrm9#cus_RPkkEilLgIeash#sub_1QckDtF4eogfgR0SbmgWgxxw#subscription_updated
200384#128780#2025-10-02 08:55:04#customer.subscription.updated#attendance_monthly#attendance#2025-09-20 01:00:00#2025-10-20 01:00:00#2025-02-20 00:00:00###731#0#0#0#1#0#0#past_due#1#1#1458.35#2916.69#50.00#0.00#cp_forever_50_percent#evt_1SDiI1F4eogfgR0SktXCBJ7s#cus_OpWbvtLLoz5VTV#sub_1QuC2fF4eogfgR0SrKIf2Gb9#subscription_upgraded
200383#157384#2025-10-02 08:53:34#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 10:52:55#2025-11-02 09:52:55#2025-05-02 10:52:55###6#0#0#0#0#0#0#active#1#1#23.94#23.94#0.00#0.00##evt_1SDiGZF4eogfgR0SBh0LylsB#cus_S8OTuZbIlLXGcs#sub_1RKFL1F4eogfgR0SQLV65skC#subscription_updated
200382#152183#2025-10-02 08:52:33#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 10:52:11#2025-11-02 09:52:11#2025-02-02 09:52:11###24#0#0#0#0#0#0#active#1#1#95.76#95.76#0.00#0.00##evt_1SDiFaF4eogfgR0SbDcEn7vI#cus_RbUqGerHGIo8Be#sub_1QnyuVF4eogfgR0St7qkmfUx#subscription_updated
200381#149331#2025-10-02 08:46:39#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 10:45:50#2025-11-02 09:45:50#2025-01-02 09:45:50###18#0#0#0#0#0#0#active#1#1#71.82#71.82#0.00#0.00##evt_1SDi9sF4eogfgR0SXrwHZoHv#cus_RKCmyqTAJMlBs9#sub_1Qck2MF4eogfgR0SPexqu3Jl#subscription_updated
200380#156105#2025-10-02 08:42:27#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 10:41:59#2025-11-02 09:41:59#2025-04-02 10:41:59###9#0#0#0#0#0#0#active#1#1#35.91#35.91#0.00#0.00##evt_1SDi5oF4eogfgR0SR79P5aR8#cus_RzKI3ppOc6GjIc#sub_1R5LdTF4eogfgR0Sv0SBGGc0#subscription_updated
200377#150630#2025-10-02 08:39:58#customer.subscription.updated#documentation_monthly#documentation#2025-10-02 10:39:43#2025-11-02 09:39:43#2025-01-02 09:39:43###1#0#0#0#0#0#0#active#1#1#9.99#9.99#0.00#0.00##evt_1SDi3PF4eogfgR0SEd7vJ7IL#cus_RVlRv33hht37XO#sub_1QcjueF4eogfgR0SVVLE2ayI#subscription_updated
200374#120206#2025-10-02 08:26:50#customer.subscription.updated#project_monthly#project#2025-10-02 10:26:23#2025-11-02 09:26:23#2025-07-02 10:26:23###18#0#0#0#0#0#0#active#1#1#125.82#125.82#0.00#0.00##evt_1SDhqhF4eogfgR0SMv6LzhRt#cus_LmFdiXTNtuMXTc#sub_1RgLznF4eogfgR0S10gjeta0#subscription_updated
200366#150625#2025-10-02 08:05:23#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 10:05:19#2025-11-02 09:05:19#2025-01-02 09:05:19###4#0#0#0#0#0#0#active#1#1#15.96#15.96#0.00#0.00##evt_1SDhVwF4eogfgR0SkhTKgNCL#cus_RVksytBQhXE1WG#sub_1QcjMMF4eogfgR0SPiuCXEpS#subscription_updated
200364#150600#2025-10-02 08:00:48#customer.subscription.updated#attendance_yearly#attendance#2025-01-15 17:53:44#2026-01-15 17:53:44#2025-01-15 17:53:44#2026-01-15 17:53:44#2025-10-02 10:00:48#7#0#0#0#0#0#1#active#12#12#26.53#26.53#0.00#0.00##evt_1SDhRUF4eogfgR0S7v5dknNE#cus_RVYYT40N3cwOOe#sub_1QcXRYF4eogfgR0SdlT1ZdVb#subscription_updated
200361#157495#2025-10-02 07:38:18#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 09:37:55#2025-11-02 08:37:55#2025-05-02 09:37:55###1#0#0#0#0#0#0#active#1#1#3.99#3.99#0.00#0.00##evt_1SDh5jF4eogfgR0Sc67Wfh2s#cus_S94R3GlbOXTK6R#sub_1RKEARF4eogfgR0SL6RDj3VM#subscription_updated
200356#157991#2025-10-02 07:24:14#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 09:23:49#2025-11-02 08:23:49#2025-05-02 09:23:49###6#0#0#0#0#0#0#active#1#1#23.94#23.94#0.00#0.00##evt_1SDgs7F4eogfgR0SHcmFRLNr#cus_SBlfkNON4tFQYm#sub_1RHO8SF4eogfgR0Svj1vwZVg#subscription_updated
200352#149060#2025-10-02 07:03:28#customer.subscription.updated#documentation_2_yearly#documentation#2025-01-08 16:23:00#2027-01-08 16:23:00#2025-01-08 16:23:00###5#0#0#0#0#0#0#active#24#24#39.95#39.95#0.00#0.00##evt_1SDgY1F4eogfgR0SdkQmpAgE#cus_RHipnQVMebhKI6#sub_1Qf161F4eogfgR0SozWbsD6L#subscription_updated
200350#149197#2025-10-02 06:58:48#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 08:58:24#2025-11-02 07:58:24#2024-12-02 07:58:24###2#0#0#0#0#0#0#active#1#1#7.98#7.98#0.00#0.00##evt_1SDgTVF4eogfgR0Stdl6Rjbo#cus_RIiV5LXMnuMUtP#sub_1QQ74jF4eogfgR0S6JBFJn7r#subscription_updated
200349#156771#2025-10-02 06:50:42#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 08:50:05#2025-11-02 07:50:05#2025-05-02 08:50:05###4#0#0#0#0#0#0#active#1#1#15.96#15.96#0.00#0.00##evt_1SDgLfF4eogfgR0SDPfpOcZU#cus_S4CmHuyue7kw6G#sub_1RKDQ9F4eogfgR0SivVvZVgf#subscription_updated
200348#121564#2025-10-02 06:49:02#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 08:48:41#2025-11-02 07:48:41#2025-04-02 08:48:41###7#0#0#0#0#0#0#active#1#1#27.93#27.93#0.00#0.00##evt_1SDgK3F4eogfgR0SnrscR1HG#cus_M8PG8qRhm0n1qV#sub_1R9L6MF4eogfgR0ST1NDR9qy#subscription_updated
200343#158680#2025-10-02 06:15:43#customer.subscription.updated#attendance_monthly#attendance#2025-09-19 10:50:16#2025-10-19 10:50:16#2025-05-19 10:50:16###6#0#0#0#0#0#0#active#1#1#23.94#23.94#0.00#0.00##evt_1SDfnnF4eogfgR0SfvZYvc43#cus_SFsQOVLsgtfm6Y#sub_1RLMg4F4eogfgR0SIm4RyqBv#subscription_updated
200341#158418#2025-10-02 06:09:57#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 08:08:57#2025-11-02 07:08:57#2025-05-02 08:08:57###5#0#0#0#0#0#0#active#1#1#19.95#19.95#0.00#0.00##evt_1SDfiEF4eogfgR0SLgJvsQec#cus_SEg5NHx9LqrNdj#sub_1RKCjaF4eogfgR0SZg7CAbdj#subscription_updated
200339#4632#2025-10-02 06:06:03#customer.subscription.updated#documentation_monthly#documentation#2025-09-04 01:00:00#2025-10-04 01:00:00#2025-01-04 00:00:00###12#0#0#0#0#0#0#past_due#1#1#95.90#119.88#20.00#0.00#cp_forever_20_percent_documentation#evt_1SDfeRF4eogfgR0SA27K3Krj#cus_IuK3oTtyWibY3g#sub_1QWPLcF4eogfgR0SatZjTP2Z#subscription_upgraded
200337#156512#2025-10-02 05:53:14#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 07:52:35#2025-11-02 06:52:35#2025-05-02 07:52:35###18#0#0#0#0#0#0#active#1#1#71.82#71.82#0.00#0.00##evt_1SDfS3F4eogfgR0SL1W55XSJ#cus_S2iQCn7UFO4Bgd#sub_1RKCWVF4eogfgR0Sm7nt2URa#subscription_updated
200334#154790#2025-10-02 05:33:49#customer.subscription.updated#attendance_monthly#attendance#2025-10-02 07:33:03#2025-11-02 06:33:03#2025-03-02 06:33:03###5#0#0#0#0#0#0#active#1#1#19.95#19.95#0.00#0.00##evt_1SDf9GF4eogfgR0SM0LEoP6I#cus_Rox0IhEvLY8Oos#sub_1QvJ6hF4eogfgR0SM6TwSGqD#subscription_updated
200328#925#2025-10-02 04:06:27#customer.subscription.updated#documentation_monthly#documentation#2025-10-02 06:05:46#2025-11-02 05:05:46#2025-05-02 06:05:46###1#0#0#0#0#0#0#active#1#1#9.99#9.99#0.00#0.00##evt_1SDdmiF4eogfgR0SuTTs5b4e#cus_RlKWlaIXd6jhIq#sub_1RKAr8F4eogfgR0SrZF0jRlP#subscription_updated
200323#356#2025-10-02 02:09:18#customer.subscription.updated#project_2_yearly#project#2025-02-17 12:43:07#2027-02-17 12:43:07#2025-02-17 12:43:07###56#0#0#0#0#0#0#active#24#24#313.04#313.04#0.00#0.00##evt_1SDbxKF4eogfgR0Sa4ChzyHq#cus_IK0eef0h2ghVbd#sub_1QsPXQF4eogfgR0SuA1WLkUe#subscription_updated
200322#128690#2025-10-02 02:09:08#customer.subscription.updated#attendance_2_yearly#attendance#2025-04-28 00:00:00#2027-04-28 00:00:00#2025-04-28 00:00:00###13#0#0#0#0#0#0#active#24#24#41.47#41.47#0.00#0.00##evt_1SDbxAF4eogfgR0SoPWrlCxw#cus_NnOJpajmsUyDH4#sub_1QSlOxF4eogfgR0S0qpupiPc#subscription_updated
200321#156542#2025-10-02 02:09:05#customer.subscription.updated#documentation_monthly#documentation#2025-09-23 14:16:32#2025-10-23 14:16:32#2025-04-23 14:16:32###8#0#0#0#0#0#0#active#1#1#79.92#79.92#0.00#0.00##evt_1SDbx7F4eogfgR0SUmduhcgA#cus_S2niCKqPhfU12j#sub_1RH2E8F4eogfgR0SNi1YnrPN#subscription_updated
200320#138436#2025-10-02 02:08:59#customer.subscription.updated#attendance_monthly#attendance#2025-09-21 18:10:38#2025-10-21 18:10:38#2025-01-21 17:10:38###12#0#0#0#0#0#0#active#1#1#47.88#47.88#0.00#0.00##evt_1SDbx1F4eogfgR0S7aRJLjDh#cus_PTgvn3FzGT3HDP#sub_1QiBybF4eogfgR0Szq73giTM#subscription_updated
200318#128156#2025-10-02 02:08:26#customer.subscription.updated#attendance_2_yearly#attendance#2025-09-23 15:14:33#2027-09-23 15:14:33#2025-09-23 15:14:33###8#0#0#0#0#0#0#active#24#24#25.52#25.52#0.00#0.00##evt_1SDbwUF4eogfgR0SipvubSpZ#cus_NbtCSWCAdboRbT#sub_1QSlNzF4eogfgR0SvOnYEQcV#subscription_updated
